u,v,key,osmid,highway,lanes,maxspeed,oneway,ref,reversed,length,geometry,name,bridge,access,tunnel,junction
60642429,94174451,0,151542538,motorway,3,55 mph,TRUE,I 84,FALSE,657.3346051,"LINESTRING (-73.5358973 41.3912241, -73.5348763 41.3916524, -73.5346197 41.3917585, -73.5344909 41.3918108, -73.5343619 41.3918623, -73.5342324 41.3919128, -73.5341029 41.3919616, -73.5338375 41.3920532, -73.5337026 41.3920971, -73.5335693 41.3921398, -73.5334365 41.392181, -73.5331678 41.3922587, -73.5330483 41.3922908, -73.5328899 41.3923324, -73.5327496 41.3923668, -73.5326253 41.3923962, -73.5324688 41.3924307, -73.5323305 41.3924595, -73.5321895 41.3924876, -73.5320479 41.392515, -73.5319303 41.3925361, -73.5317641 41.3925634, -73.5314786 41.3926042, -73.5313316 41.392624, -73.5311874 41.3926428, -73.5310439 41.3926582, -73.5308995 41.3926727, -73.5307554 41.3926857, -73.5306182 41.392697, -73.5304672 41.3927073, -73.5303257 41.3927152, -73.5301776 41.3927214, -73.5300298 41.3927261, -73.5298821 41.3927295, -73.5297385 41.3927311, -73.52959 41.3927321, -73.5294434 41.3927311, -73.5292974 41.3927285, -73.5291516 41.3927239, -73.5290073 41.3927181, -73.5288611 41.3927108, -73.5287191 41.392703, -73.5285703 41.3926921, -73.528427 41.3926808)",,,,,
60642881,61298018,0,9742334,motorway_link,1,,TRUE,,FALSE,686.2161158,"LINESTRING (-73.5327897 41.3925596, -73.5333347 41.3924486, -73.5336166 41.3923801, -73.5339063 41.3923007, -73.5341851 41.3922152, -73.5344417 41.3921277, -73.534732 41.3920179, -73.5350014 41.3919076, -73.5352544 41.3918058, -73.5355096 41.3917079, -73.5357541 41.3916218, -73.5360156 41.3915414, -73.5362937 41.3914663, -73.5383165 41.3909496, -73.5391597 41.3907491, -73.5396916 41.3906082, -73.5404794 41.3904027)",,,,,
61298018,61298022,0,"[1396243313, 1396243314, 1346212871]",secondary,2,35 mph,FALSE,,FALSE,169.5443665,"LINESTRING (-73.5404794 41.3904027, -73.5403932 41.3901009, -73.5403751 41.3900366, -73.5403492 41.3899296, -73.5403338 41.389862, -73.5403177 41.3897849, -73.5402608 41.3894648, -73.5401873 41.3890508, -73.5401739 41.3889903, -73.5401497 41.388899)",Saw Mill Road,,,,
61298018,1171330177,0,1346212871,secondary,2,35 mph,FALSE,,TRUE,39.28312162,"LINESTRING (-73.5404794 41.3904027, -73.5405004 41.3904726, -73.5405482 41.3906194, -73.5405701 41.3906804, -73.5405992 41.3907441)",Saw Mill Road,,,,
61298022,887293177,0,10169119,secondary,2,35 mph,FALSE,,FALSE,768.5587401,"LINESTRING (-73.5401497 41.388899, -73.5401321 41.3888361, -73.5401159 41.388767, -73.5400369 41.3883244, -73.5399971 41.3880969, -73.5399663 41.3879318, -73.5399313 41.3877307, -73.5399168 41.3876571, -73.5398912 41.3875565, -73.5398624 41.3874403, -73.5398299 41.3873217, -73.5397929 41.3872008, -73.5397545 41.38708, -73.5397177 41.3869722, -73.5396722 41.3868411, -73.5395708 41.3865654, -73.5395246 41.3864482, -73.5391894 41.3856362, -73.5389065 41.3849442, -73.5388799 41.3848826, -73.5388532 41.3848226, -73.5388286 41.3847693, -73.5388028 41.3847196, -73.5387736 41.3846675, -73.5387328 41.3846053, -73.5386927 41.3845504, -73.5386464 41.384495, -73.5385945 41.3844394, -73.5385434 41.3843896, -73.5384942 41.3843449, -73.5384409 41.3842999, -73.5383898 41.3842603, -73.5383231 41.3842113, -73.5382459 41.3841584, -73.5381621 41.3841019, -73.5380703 41.3840417, -73.5379584 41.3839701, -73.537819 41.3838846, -73.5377603 41.3838471, -73.5376888 41.3837989, -73.5376351 41.3837604, -73.5375727 41.3837134, -73.5375155 41.3836668, -73.5374601 41.3836187, -73.5374098 41.3835722, -73.5373623 41.383526, -73.5373157 41.3834777, -73.5372763 41.3834352, -73.5372281 41.3833777, -73.5371832 41.3833194, -73.5371397 41.3832592, -73.5367821 41.3827592, -73.5367238 41.3826767)",Saw Mill Road,,,,
61298022,60642429,0,184360588,motorway_link,1,,TRUE,,FALSE,442.4712029,"LINESTRING (-73.5401497 41.388899, -73.540081 41.3889117, -73.54 41.3889428, -73.5399343 41.3889799, -73.5398824 41.3890262, -73.5397837 41.3891348, -73.5396915 41.3892288, -73.5395857 41.3893235, -73.5394637 41.3894198, -73.5393293 41.3895178, -73.5391791 41.389615, -73.5390202 41.3897053, -73.5388265 41.3898037, -73.5372273 41.3905852, -73.5358973 41.3912241)",,,,,
61298022,61298018,0,"[1396243313, 1396243314, 1346212871]",secondary,2,35 mph,FALSE,,TRUE,169.5443665,"LINESTRING (-73.5401497 41.388899, -73.5401739 41.3889903, -73.5401873 41.3890508, -73.5402608 41.3894648, -73.5403177 41.3897849, -73.5403338 41.389862, -73.5403492 41.3899296, -73.5403751 41.3900366, -73.5403932 41.3901009, -73.5404794 41.3904027)",Saw Mill Road,,,,
83893713,83899834,0,10163977,residential,,,FALSE,,FALSE,382.5217017,"LINESTRING (-73.4947307 41.3630289, -73.4945866 41.3629339, -73.4943828 41.3627519, -73.4942985 41.3626544, -73.4942353 41.3625515, -73.4942001 41.3624065, -73.4941931 41.3622799, -73.4942036 41.3621639, -73.4942599 41.3619792, -73.4943301 41.3618553, -73.494359 41.3618259, -73.4944391 41.3617445, -73.4946077 41.3616311, -73.4948431 41.3614966, -73.4950259 41.3614218, -73.4950821 41.3613569, -73.4951455 41.3612539, -73.4955916 41.3605294, -73.4958372 41.3601305)",Marc Road,,,,
83893713,84047465,0,10183702,residential,,,FALSE,,FALSE,285.827596,"LINESTRING (-73.4947307 41.3630289, -73.4955213 41.3625621, -73.495673 41.3624979, -73.4957954 41.362446, -73.4959365 41.3624053, -73.4962521 41.3623142, -73.4963215 41.3623063, -73.4966246 41.362272, -73.4968385 41.3622448, -73.4968893 41.3622383, -73.4970603 41.3622166, -73.4973198 41.3621748, -73.4974517 41.3621535, -73.4975346 41.3621401, -73.4978298 41.3620663)",Cannonball Drive,,,,
83893713,84047461,0,10183702,residential,,,FALSE,,TRUE,140.4006067,"LINESTRING (-73.4947307 41.3630289, -73.4941896 41.3633849, -73.4939963 41.3634534, -73.4938698 41.3634772, -73.4936309 41.3635062, -73.4932549 41.363522)",Cannonball Drive,,,,
