osmid,y,x,street_count,highway,ref,geometry
60642429,41.3912241,-73.5358973,3,,,POINT (-73.5358973 41.3912241)
60642881,41.3925596,-73.5327897,3,motorway_junction,1,POINT (-73.5327897 41.3925596)
61298018,41.3904027,-73.5404794,4,traffic_signals,,POINT (-73.5404794 41.3904027)
61298022,41.388899,-73.5401497,4,traffic_signals,,POINT (-73.5401497 41.388899)
83893713,41.3630289,-73.4947307,3,,,POINT (-73.4947307 41.3630289)
83893736,41.3944848,-73.4906377,1,,,POINT (-73.4906377 41.3944848)
83893853,41.3916314,-73.5255226,3,motorway_junction,2,POINT (-73.5255226 41.3916314)
83893862,41.3919214,-73.5209858,3,traffic_signals,,POINT (-73.5209858 41.3919214)
83893878,41.3835015,-73.5250501,3,,,POINT (-73.5250501 41.3835015)
83893886,41.3838919,-73.5224805,3,,,POINT (-73.5224805 41.3838919)
83893906,41.3856691,-73.5179451,3,,,POINT (-73.5179451 41.3856691)
83895700,41.4067714,-73.4870198,3,,,POINT (-73.4870198 41.4067714)
83896466,41.4424888,-73.4284705,3,,,POINT (-73.4284705 41.4424888)
83896468,41.4432276,-73.42893,3,,,POINT (-73.42893 41.4432276)
83896876,41.3917678,-73.4859546,3,,,POINT (-73.4859546 41.3917678)
83896881,41.3936148,-73.4773964,3,,,POINT (-73.4773964 41.3936148)
83896883,41.3937886,-73.4771818,3,,,POINT (-73.4771818 41.3937886)
83897272,41.3894891,-73.5166489,3,,,POINT (-73.5166489 41.3894891)
83897279,41.3780934,-73.5334779,3,,,POINT (-73.5334779 41.3780934)
83898210,41.39388,-73.5163468,3,,,POINT (-73.5163468 41.39388)
83898283,41.3917576,-73.5180527,3,,,POINT (-73.5180527 41.3917576)
83898609,41.3802678,-73.4752261,3,traffic_signals,,POINT (-73.4752261 41.3802678)
83898618,41.3809085,-73.4739684,3,traffic_signals,,POINT (-73.4739684 41.3809085)
83898755,41.4117699,-73.4513574,3,motorway_junction,6,POINT (-73.4513574 41.4117699)
83898759,41.4108198,-73.4553512,3,,,POINT (-73.4553512 41.4108198)
83899807,41.442255,-73.4290611,3,,,POINT (-73.4290611 41.442255)
83899809,41.4427684,-73.4276539,1,,,POINT (-73.4276539 41.4427684)
83899834,41.3601305,-73.4958372,1,turning_circle,,POINT (-73.4958372 41.3601305)
83900032,41.3885042,-73.4750299,5,traffic_signals,,POINT (-73.4750299 41.3885042)
83900081,41.3849026,-73.480432,3,,,POINT (-73.480432 41.3849026)
83900290,41.33186,-73.445645,3,,,POINT (-73.445645 41.33186)
83900503,41.4041997,-73.4664917,3,,,POINT (-73.4664917 41.4041997)
83901090,41.4454599,-73.4318144,3,,,POINT (-73.4318144 41.4454599)
83901600,41.411279,-73.4521322,3,,,POINT (-73.4521322 41.411279)
83901703,41.3772883,-73.491346,4,,,POINT (-73.491346 41.3772883)
83901878,41.4493681,-73.4847865,1,turning_circle,,POINT (-73.4847865 41.4493681)
83901880,41.4085335,-73.4647267,4,,,POINT (-73.4647267 41.4085335)
83901881,41.4088856,-73.4647655,1,,,POINT (-73.4647655 41.4088856)
83902009,41.4423217,-73.4730414,4,,,POINT (-73.4730414 41.4423217)
83902943,41.3823647,-73.4751128,3,motorway_junction,9,POINT (-73.4751128 41.3823647)
83903055,41.4166764,-73.4187926,3,motorway_junction,7,POINT (-73.4187926 41.4166764)
83903140,41.4195079,-73.42603,3,,,POINT (-73.42603 41.4195079)
83903143,41.4198741,-73.4262606,3,,,POINT (-73.4262606 41.4198741)
83903158,41.4195509,-73.4259012,3,,,POINT (-73.4259012 41.4195509)
83903160,41.419919,-73.4261372,3,,,POINT (-73.4261372 41.419919)
83903235,41.4077633,-73.4414342,3,,,POINT (-73.4414342 41.4077633)
83903500,41.412819,-73.4099118,3,,,POINT (-73.4099118 41.412819)
83903510,41.4116878,-73.4118435,3,,,POINT (-73.4118435 41.4116878)
83904036,41.3994102,-73.4307614,4,traffic_signals,,POINT (-73.4307614 41.3994102)
83904081,41.4444927,-73.5119744,3,,,POINT (-73.5119744 41.4444927)
83904357,41.4128064,-73.4110511,4,traffic_signals,,POINT (-73.4110511 41.4128064)
83904364,41.4146189,-73.409484,4,traffic_signals,,POINT (-73.409484 41.4146189)
83904367,41.4149855,-73.4087559,3,,,POINT (-73.4087559 41.4149855)
83904370,41.4159121,-73.4068255,3,,,POINT (-73.4068255 41.4159121)
83905200,41.4499715,-73.4245067,3,,,POINT (-73.4245067 41.4499715)
83905521,41.4226996,-73.425781,1,,,POINT (-73.425781 41.4226996)
83905523,41.4220173,-73.4261109,3,,,POINT (-73.4261109 41.4220173)
83905539,41.4220466,-73.4270305,3,,,POINT (-73.4270305 41.4220466)
